rank,rank_label,school_name,city,state,tuition,enrollment_full_time,summary,url
1,# 1 in Best Computer Science Schools (tie),Carnegie Mellon University,Pittsburgh,PA,"$61,406 per year (full-time) | $1,845 per credit (part-time)",1887,The School of Computer Science at Carnegie Mellon University has an application deadline of Dec. 10. The application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/carnegie-mellon-university-43082
1,# 1 in Best Computer Science Schools (tie),Massachusetts Institute of Technology,Cambridge,MA,"$62,396 per year (full-time)",831,The Department of Electrical Engineering and Computer Science at Massachusetts Institute of Technology has an...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/massachusetts-institute-of-technology-43047
1,# 1 in Best Computer Science Schools (tie),Stanford University,Stanford,CA,"$65,865 per year (full-time)",1004,The Department of Computer Science at Stanford University has an application deadline of Dec. 2. The application fee is...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/stanford-university-43007
4,# 4 in Best Computer Science Schools,University of California--Berkeley,Berkeley,CA,"$37,892 per year (full-time)",291,The Department of Electrical Engineering and Computer Sciences at University of California--Berkeley has an application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-california-berkeley-43008
5,# 5 in Best Computer Science Schools,University of Illinois--Urbana-Champaign,Urbana,IL,"$43,670 per year (full-time)",2902,The Siebel School of Computing and Data Science at University of Illinois--Urbana-Champaign has an application deadline...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-illinois-at-urbana-champaign-43032
6,# 6 in Best Computer Science Schools,Princeton University,,NJ,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/princeton-university-43057
7,# 7 in Best Computer Science Schools (tie),Cornell University,Ithaca,NY,"$75,384 per year (full-time)",535,The Department of Computer Science at Cornell University has an application deadline of Dec. 15. The application fee is...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/cornell-university-43062
7,# 7 in Best Computer Science Schools (tie),Georgia Institute of Technology,,GA,"$31,331 per year (full-time) | $2,009 per credit (part-time)",1329,The College of Computing at Georgia Institute of Technology has an application deadline of Dec. 15. The application fee...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/georgia-institute-of-technology-43027
7,# 7 in Best Computer Science Schools (tie),University of Washington,Seattle,WA,"$1,393 per credit (part-time)",520,The Computer Science and Engineering at University of Washington has an application deadline of Dec. 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-washington-seattle-campus-43104
10,# 10 in Best Computer Science Schools,University of Texas--Austin,Austin,TX,"$18,162 per year (full-time) | $1,913 per credit (part-time)",307,The Department of Computer Sciences at University of Texas--Austin has an application deadline of Dec. 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/the-university-of-texas-at-austin-43098
11,#11 in Best Computer Science Schools,University of Michigan--Ann Arbor,Ann Arbor,MI,"$61,248 per year (full-time) | $3,339 per credit (part-time)",502,The Electrical Engineering and Computer Science Department at University of Michigan--Ann Arbor has an application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-michigan-ann-arbor-43050
12,#12 in Best Computer Science Schools (tie),California Institute of Technology,Pasadena,CA,N/A,11,The Computer Science Department at California Institute of Technology has an application deadline of Dec. 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/california-institute-of-technology-43005
12,#12 in Best Computer Science Schools (tie),University of California--San Diego,La Jolla,CA,"$30,299 per year (full-time)",1271,"The application fee is $135 for U.S. residents and $155 for international students. Its tuition is full-time: $30,29...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-california-san-diego-43012
12,#12 in Best Computer Science Schools (tie),University of Maryland--College Park,College Park,MD,"$39,014 per year (full-time) | $2,254 per credit (part-time)",516,The Department of Computer Science at University of Maryland--College Park has an application deadline of Dec. 5. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-maryland-college-park-43043
15,#15 in Best Computer Science Schools (tie),Columbia University,,NY,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/columbia-university-43061
15,#15 in Best Computer Science Schools (tie),Purdue University--West Lafayette,West Lafayette,IN,"$29,918 per year (full-time) | $948 per credit (part-time)",549,The Department of Computer Science at Purdue University--West Lafayette has an application deadline of Dec. 20. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/purdue-university-main-campus-43033
15,#15 in Best Computer Science Schools (tie),University of California--Los Angeles,,CA,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-california-los-angeles-43011
15,#15 in Best Computer Science Schools (tie),University of Wisconsin--Madison,Madison,WI,"$25,651 per year (full-time) | $1,642 per credit (part-time)",564,The Department of Computer Sciences at University of Wisconsin--Madison has an application deadline of Dec. 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-wisconsin-madison-43106
19,#19 in Best Computer Science Schools (tie),Harvard University,,MA,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/harvard-university-43046
19,#19 in Best Computer Science Schools (tie),University of Pennsylvania,Philadelphia,PA,"$54,470 per year (full-time)",1080,The Department of Computer and Information Science at University of Pennsylvania has an application deadline of Dec...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-pennsylvania-43086
21,#21 in Best Computer Science Schools (tie),Johns Hopkins University,Baltimore,MD,"$65,230 per year (full-time)",523,The Department of Computer Science at Johns Hopkins University has an application deadline of Dec. 15. The application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/johns-hopkins-university-43042
21,#21 in Best Computer Science Schools (tie),University of Chicago,,IL,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-chicago-43109
21,#21 in Best Computer Science Schools (tie),University of Southern California,,CA,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-southern-california-43016
21,#21 in Best Computer Science Schools (tie),Yale University,New Haven,CT,"$49,500 per year (full-time) | $6,188 per credit (part-time)",186,The Department of Computer Science at Yale University has an application deadline of Dec. 15. The application fee is...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/yale-university-43020
25,#25 in Best Computer Science Schools (tie),Duke University,,NC,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/duke-university-43072
25,#25 in Best Computer Science Schools (tie),University of Massachusetts--Amherst,Amherst,MA,"$35,726 per year (full-time) | $2,018 per credit (part-time)",949,The Department of Computer Science at University of Massachusetts--Amherst has an application deadline of Dec. 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-massachusetts-amherst-43048
